tile,cpc
0,0.0009149657685777124
1028,0.23926588811154487
1090,0.26625508197737413
1154,0.2341354786923236
1266,0.6770807037778551
1275,0.05396726609599996
1279,0.038067191720774184
1360,0.030973231538813165
1384,0.23121800252671362
1494,0.061546808316361015
1539,0.2066299231468571
1567,0.17729611436421924
165,0.05235301573502215
1681,0.17517431731266675
1816,0.2522356145412302
1912,0.2836879066189502
195,0.0005390197128170353
1960,0.10715432129179368
2133,0.11772371983575824
220,0.37954289523631307
2280,0.2238190861162746
236,0.2798241989815283
2387,0.1416167861215589
2425,0.26057249602300536
250,0.273166548653229
2842,0.2702322078673809
2870,0.11645669503975112
3028,0.3421313361739063
3044,8.099987228411287e-06
3063,0.11238658212792206
3193,0.27652471879841045
3257,0.0014982610846579426
3266,0.43536656070916907
338,0.05235568272041437
3495,0.19655803814310027
3544,0.2428424793128321
3673,0.3860405189924441
3733,0.22298614511808978
4076,0.032235949669927814
4107,0.017205009977792278
4151,0.02050055991783888
4177,0.00216128142069866
4340,0.479713857120899
4379,0.2923538146803724
4433,0.19438224636009477
445,0.3611559726783593
4481,0.026245797081522124
4564,0.12714270401405672
4606,0.009839281093737788
4650,0.3749854281355257
4727,0.2231332132807399
4784,8.861739461985385e-05
4789,0.05281000922781728
4888,0.1564194566157539
4931,0.3802893432735358
4988,0.1332026996679007
5048,0.04410598352483707
5063,0.010953193559419103
508,0.12836228249651307
5088,0.49827634940376936
5128,0.406528723867316
5144,0.14609050609576027
5314,0.07169805845033099
5340,0.08433279200894861
5534,0.1451914018850315
5592,0.2806222840665236
5668,0.020110710674289278
5693,0.38701557570228456
5728,0.21819741763176406
574,0.3844509215555684
5783,0.25836729034041866
5862,0.4962853460419361
5898,0.25496960916934774
6046,0.2287455484281536
6057,0.30966568962778246
6100,0.4153421548054568
6146,0.25083472605966295
625,0.10719056156730285
6394,0.15880693751235422
6519,0.21734650495892607
6635,0.2909494013380964
6709,0.37173204152857287
6747,0.33357662134317173
6820,0.0075987270853347675
6870,0.06855408466255858
6903,0.49813133852861824
6969,0.2934238564341762
6985,0.1782088075010169
7105,0.23658065922964253
7244,0.206974929922067
7364,0.1362224669036276
7429,0.22049401223743223
7479,0.17489021266895516
749,0.24001601906215145
7527,0.2218371892104634
797,0.2557231779430522
841,0.2704608121657754
959,0.19464005413051433
985,0.032815736801837705
