name,m,area
Modesto,218464,111.485793
Hayward,162954,118.66908
Livermore,87955,68.494311
Pleasanton,79871,62.524282
Fortuna,12516,13.592673
Arcata,18857,24.399923
Eureka,26512,24.698637
Redondo Beach,71576,16.070262
Torrance,147067,53.141224
Visalia,141384,98.390749
Menifee,102527,120.369471
Belmont,28335,11.990538
Burlingame,31386,11.378235
Daly City,104901,19.783516
San Carlos,30722,14.016664
South San Francisco,66105,23.83562
Woodside,5309,29.697449
Wildomar,36875,61.393217
Banning,29505,60.183802
Brea,47325,31.513797
Irvine,307670,169.930356
La Habra,63097,19.577662
Stanton,37962,8.031388
Simi Valley,126356,107.601139
Thousand Oaks,126966,143.11408
Rocklin,71601,51.307151
Auburn,13776,18.588528
Roseville,147773,114.162282
Sonora,5003,8.190966
Piedmont,11270,4.402397
Los Banos,45532,25.891767
Calimesa,10026,38.504167
Canyon Lake,11082,10.150943
Coachella,41941,77.90105
Indian Wells,4757,37.085445
La Quinta,37558,91.317864
Truckee,16729,83.740315
Porterville,62623,48.294868
Tulare,68875,53.439426
Atwater,31970,17.008587
Merced,86333,60.228129
Rancho Mirage,16999,65.663784
Temecula,110003,96.522049
Desert Hot Springs,32512,78.402271
Palm Springs,44575,244.87547
Petaluma,59776,37.333943
Santa Rosa,178127,110.145874
La Palma,15581,4.611657
Los Alamitos,11780,10.38299
Mission Viejo,93653,45.737609
Rancho Santa Margarita,47949,33.483307
San Clemente,64293,47.542789
Seal Beach,25242,29.184641
Villa Park,5843,5.380384
Aliso Viejo,52176,17.937313
Huntington Beach,198711,69.922374
Tustin,80276,28.808803
Buena Park,84034,27.271037
Dana Point,33107,16.804059
Lemoore,27038,22.828779
Fountain Valley,57047,23.495176
Laguna Beach,23032,23.036582
Laguna Hills,31374,16.960505
Laguna Woods,17644,8.655358
Lake Forest,85858,43.288926
Hanford,57990,45.249768
El Cerrito,5058,6.760749
Hercules,26016,16.608748
Moraga,16870,24.504014
Lathrop,28701,51.349617
Lodi,66348,35.327014
Manteca,83498,55.396449
Tracy,93000,67.767482
Jurupa Valley,105053,111.216608
Brawley,26416,21.024324
El Segundo,17272,14.148731
Hawaiian Gardens,14149,2.447971
Hermosa Beach,19728,3.692737
Pasadena,138699,59.471291
Newport Beach,85239,61.626136
Santa Monica,93076,21.782142
Calexico,38633,22.324358
El Centro,44322,31.000922
Holtville,5605,2.988033
Citrus Heights,87583,36.820409
Elk Grove,176124,108.760535
Galt,25383,18.508749
Sacramento,524943,255.399993
Hollister,41678,20.622323
Cerritos,49578,22.602736
Covina,51268,18.222856
Lomita,20921,4.952726
Manhattan Beach,35506,10.189493
Maywood,25138,3.034744
Monrovia,37931,35.306568
San Dimas,34924,38.933497
El Paso de Robles (Paso Robles),31490,50.871201
Morro Bay,10757,13.796052
San Luis Obispo,47063,34.458922
Oakley,43357,41.091677
Ione,5141,11.861672
Reedley,25227,14.429457
Sanger,26617,14.937114
Selma,24674,15.041784
Watsonville,52590,17.577553
Santa Cruz,62956,32.996599
Twentynine Palms,28065,152.157672
Upland,79040,40.363418
Yucaipa,54542,73.199449
Yucca Valley,21738,103.161847
Corcoran,22339,19.315216
Redlands,73168,93.292254
Carlsbad,114746,97.832258
National City,56173,19.030795
Santee,60037,42.831662
California City,14973,527.349258
Taft,8546,39.55212
Eastvale,69757,32.823713
Big Bear Lake,5046,16.164304
Fontana,208393,111.552124
Rialto,104026,62.393481
Solana Beach,12941,8.841642
Murrieta,110949,87.054765
Atascadero,29773,67.524871
Grover Beach,12701,5.988133
Pismo Beach,8072,9.05759
Arroyo Grande,18441,15.3822
South Lake Tahoe,21330,26.389494
Clovis,120124,66.793311
Fresno,542107,299.407784
Clearlake,16685,26.23511
Angels,3667,9.407811
Yuba City,70117,38.797488
Folsom,80454,72.210787
Rancho Cordova,79332,89.533866
Monterey,30218,22.390414
American Canyon,21837,15.763118
Calistoga,5228,6.673845
Yountville,3436,3.852452
Antioch,115291,75.552859
Concord,125410,79.13063
Danville,43582,46.821256
Martinez,37287,32.753076
Pittsburg,76416,45.780276
Pleasant Hill,34613,18.324535
San Ramon,84605,51.953239
Walnut Creek,70127,51.179061
Carpinteria,13264,6.704026
Dinuba,24563,16.859536
Exeter,10321,6.37381
Farmersville,10397,5.70106
Lindsay,12659,7.055435
Salinas,163542,60.903234
Agoura Hills,20299,20.190547
Artesia,16395,4.196986
Milpitas,80273,34.919473
Avalon,3460,7.47392
Bellflower,79190,15.843604
Bell Gardens,39501,6.368687
Claremont,37266,34.537097
Commerce,12378,16.92157
Cudahy,22811,3.046449
El Monte,109450,24.752904
Goleta,32690,20.339515
Lompoc,44444,30.103861
Santa Barbara,88665,50.52352
Santa Maria,109707,59.078451
Acton,7431,101.679451
Alondra Park,8569,2.861316
Alpine,14696,69.374324
Altadena,42846,21.924372
Alta Sierra,7204,21.551268
Alum Rock,12042,2.250531
Amesti,2637,7.61213
Antelope,48733,17.705728
Arden-Arcade,94659,41.184189
Armona,4274,5.317203
Ashland,23823,4.772238
August,8628,3.252575
Avocado Heights,13317,5.829186
Ballico,347,7.828206
Bay Point,23896,16.643645
Bayview,2619,1.895402
Bella Vista,3641,68.485004
Ben Lomond,6337,21.674901
Bermuda Dunes,8244,7.633069
Bertsch-Oceanview,2520,13.727497
Bethel Island,2131,13.599678
Big Bear City,12738,82.917622
Blackhawk,9637,14.958249
Bloomington,24339,15.726088
Bolinas,1483,15.090532
Bonita,12917,12.993682
Bonsall,4546,35.286264
Boron,2086,35.516742
Bostonia,16882,4.989175
Boulder Creek,5429,19.456234
Boyes Hot Springs,6215,2.746385
Bret Harte,5135,1.425057
Broadmoor,4411,1.118795
Brookdale,2043,9.963087
Butte Creek Canyon,780,53.133631
Byron,1140,16.889207
Bystrom,3957,1.408724
Calwa,1776,1.470052
Cambria,5678,21.803724
Cameron Park,18881,29.078546
Carmichael,79793,39.714478
Caruthers,2613,5.238364
Casa Conejo,3267,1.221471
Casa de Oro-Mount Helix,19576,17.743954
Castaic,18937,18.807882
Castle Hill,1271,1.513889
Castro Valley,66441,43.637185
Castroville,7515,2.646281
Cayucos,2505,8.028952
Charter Oak,9739,2.40292
Cherryland,15808,3.090815
Citrus,10243,2.268957
College City,292,7.599771
Collierville,2094,17.080884
Contra Costa Centre,6808,1.649047
Coto de Caza,14710,20.196169
Country Club,10777,4.96475
Crescent Mills,206,10.985561
Crest,2828,16.913607
Crestline,11650,36.012359
Cutten,3223,3.318362
Daphnedale Park,129,2.142441
Day Valley,3410,47.922347
Del Aire,10338,2.611524
Desert Edge,4180,5.872955
Discovery Bay,15358,14.482205
Durham,5834,211.567384
East Foothills,6803,5.512919
East Hemet,19432,13.454514
East Los Angeles,118786,19.303561
East Richmond Heights,3460,1.501846
East San Gabriel,22769,5.641695
East Whittier,10394,2.823028
El Dorado Hills,50547,125.511003
El Granada,5481,12.739545
Elkhorn,1588,12.440882
Elverta,5435,22.900221
Empire,4202,3.026223
Eucalyptus Hills,5517,12.324306
Fair Oaks,32514,28.169829
Fairview,11341,7.703024
Fallbrook,32267,45.429891
Fetters Hot Springs-Agua Caliente,4233,3.783771
Florence-Graham,61983,9.089172
Florin,52388,22.567765
Foothill Farms,35834,10.879066
Frazier Park,2592,13.509638
French Camp,3770,8.013766
French Valley,35280,28.160802
Fruitridge Pocket,6102,1.532205
Garden Acres,11398,6.693775
Garnet,7118,20.419872
Golden Hills,9578,28.267176
Gold River,7844,6.884489
Graeagle,724,28.666635
Granite Bay,21247,55.81022
Granite Hills,3267,7.233804
Greenacres,5496,4.931784
Green Acres,2918,3.626865
Hacienda Heights,54191,28.884485
Harbison Canyon,4048,26.085235
Highgrove,7515,8.337489
Home Gardens,11203,3.910004
Indio Hills,1048,56.620987
Interlaken,7368,25.391177
Isla Vista,15500,1.427676
Janesville,2461,87.57855
Joshua Tree,6489,93.463461
Kelly Ridge,3006,5.054047
Kennedy,3223,3.139084
Kensington,5428,2.495981
Kentfield,6808,7.839024
Kings Beach,3563,7.403909
La Crescenta-Montrose,19997,8.878978
Ladera Heights,6654,7.679969
Ladera Ranch,26170,12.807936
Lake Almanor West,211,5.920415
Lakeland Village,12364,22.759344
Lake Los Angeles,13187,25.229336
Lakeside,21152,17.944759
Lamont,14049,12.39122
La Presa,35033,14.23842
La Riviera,11252,4.920394
Larkfield-Wikiup,8492,13.747228
Lemon Hill,14496,4.247517
Lennox,20323,2.831941
Linda,21654,22.236546
Lockeford,3333,21.60306
Loleta,828,5.500846
Lompico,1154,8.74969
Los Osos,14465,33.057047
Loyola,3491,3.600984
Lucas Valley-Marinwood,6259,14.843405
Lucerne Valley,5331,273.570981
McClellan Park,926,10.536176
McKinleyville,16262,54.083206
Magalia,7795,36.313238
Manila,798,1.80514
March ARB,809,30.904205
Marin City,2993,1.390167
Mayfair,4831,1.342684
Mayflower Village,5402,1.777078
Meadow Vista,3263,13.678314
Mead Valley,19819,49.415773
Meiners Oaks,3911,6.315365
Mentone,9557,15.83089
Midway City,8825,1.578759
Mira Monte,6618,12.470598
Mojave,4699,151.185016
Montara,2833,10.040503
Morongo Valley,3514,65.317007
Mountain View Acres,3337,4.114534
Muscoy,10719,7.876493
Nice,2929,4.472124
Norris Canyon,1313,9.350215
North Auburn,13452,20.171681
North El Monte,3730,1.101654
North Fair Oaks,14027,3.09764
North Highlands,49327,22.821705
North Tustin,25718,17.044619
Nuevo,6733,17.531432
Oakhurst,5945,86.634988
Oak Park,13898,13.713403
Oak View,6215,8.822791
Oildale,36135,20.484547
Old Fig Garden,5477,4.3178
Olivehurst,16595,21.791564
Orangevale,35569,29.657948
Orcutt,32034,28.030109
Oroville East,8038,55.935091
Pacheco,4183,1.945578
Palermo,5555,75.529077
Parkway,15962,6.240067
Peters,708,6.542371
Phelan,13859,155.638217
Pine Grove,2891,19.383669
Pixley,3828,13.597489
Pollock Pines,7112,22.335059
Proberta,237,3.707383
Prunedale,18885,119.299815
Quartz Hill,11447,9.743175
Quincy,1630,10.939488
Ramona,21468,99.548576
Rancho San Diego,21858,22.523642
Rancho Santa Fe,3156,17.384981
Ridgemark,3212,6.656246
Rio del Mar,9128,7.770134
Rio Linda,15944,25.710392
Rodeo,9653,9.741095
Rollingwood,3015,0.447766
Romoland,2005,6.890933
Rosedale,18639,75.813312
Rosemont,23510,11.361196
Rossmoor,10625,4.038884
Rouse,1913,0.617334
Rowland Heights,48231,33.868358
San Antonio Heights,3441,6.334954
San Diego Country Estates,10395,43.471183
San Geronimo,510,3.906938
San Lorenzo,29581,7.888217
San Martin,7008,30.043758
San Pasqual,2101,0.659665
Santa Venetia,4289,9.489702
Saranap,5830,2.939536
Seacliff,3280,1.89021
Seeley,1729,3.66015
Shasta,1043,28.325227
Sleepy Hollow,2401,7.680833
South Monrovia Island,6515,1.419511
South San Gabriel,7920,2.16033
South San Jose Hills,19855,3.878864
South Taft,2100,2.78679
South Whittier,56415,13.824727
Spring Valley,30998,19.015909
Stanford,21150,7.123691
Stevenson Ranch,20178,16.607591
Sunnyside,4627,4.954935
Taft Mosswood,1636,1.205538
Tamalpais-Homestead Valley,11492,12.135246
Tara Hills,5364,1.727037
Tarpey Village,3997,2.043494
Temescal Valley,26232,50.094238
Thermalito,7198,32.965416
Thousand Palms,7967,61.230208
Valinda,22437,5.213065
Valle Vista,16194,17.771963
Val Verde,2399,6.644174
Vandenberg Village,7308,13.649867
View Park-Windsor Hills,11419,4.768647
Vincent,15714,3.814588
Vineyard,43935,48.558204
Vista Santa Rosa,2607,41.629806
Walnut Grove,1452,26.419421
Walnut Park,15214,1.940966
Weedpatch,2206,9.212054
West Athens,9393,3.462635
West Bishop,2754,22.68447
West Carson,22870,5.868541
West Menlo Park,3930,1.256177
Westmont,33913,4.784057
West Puente Valley,22959,4.842002
West Rancho Dominguez,24347,10.291799
West Whittier-Los Nietos,25325,6.527742
Willowbrook,24295,4.341865
Winter Gardens,22380,11.447561
Winton,11709,7.875727
Woodcrest,15378,29.461909
Wrightwood,4720,15.414197
Yosemite Lakes,5022,54.13605
Avenal,13696,50.459974
Tehachapi,12939,26.56314
