name,m,area
Benbrook,24520,27.873616
Kennedale,8517,17.117502
Euless,61032,41.755328
El Lago,3090,1.667712
Brownsville,186738,340.982705
San Benito,24861,40.929566
Little River-Academy,1992,4.948518
Taft,2801,4.32291
Gun Barrel City,6190,16.196862
Brownwood,18862,38.76191
South Mountain,411,4.178651
Henderson,13271,30.951924
Stephenville,20897,30.753072
Kermit,6267,6.516921
Waco,138486,229.817124
Floresville,7203,19.918851
Meadows Place,4767,2.417201
Cibolo,32276,54.378606
Seguin,29433,100.54204
Harlingen,71829,103.926835
Princeton,17027,26.154061
Prosper,30174,65.263358
McKinney,195308,173.43321
Idalou,2193,2.616014
Shallowater,2964,3.753504
Seabrook,13618,13.779081
Jefferson,1875,11.519941
Mount Vernon,2491,11.169156
Shoreacres,1566,2.346076
Lake Worth,4711,6.382875
Pantego,2568,2.696414
Richland Hills,8621,8.119928
River Oaks,7646,5.227586
Trinity,2343,9.81913
Sansom Park,5454,3.210392
Hurst,40413,25.806444
Haltom City,46073,31.976531
Boerne,17850,30.159854
Bunker Hill Village,3822,3.734401
Deer Park,34495,27.209555
Olmos Park,2180,1.590821
New London,958,22.291816
Corpus Christi,317863,420.016429
West Orange,3459,8.808191
Fulshear,16856,31.166215
Nacogdoches,32147,71.506108
Ingleside,9519,43.571854
Hereford,14972,16.378838
Terrell,17465,70.473164
New Braunfels,90403,116.640659
Schertz,42002,83.059442
Port Isabel,5028,17.577404
Alamo,19493,19.589482
Austin,961855,828.631437
Crockett,6332,22.922509
Yoakum,5908,11.862356
San Elizario,10116,17.825963
Weslaco,40160,42.420184
Donna,16797,21.475931
Aransas Pass,7941,32.555485
Dumas,14501,14.310897
Cedar Hill,49148,92.691559
Glenn Heights,15819,18.676367
Grand Prairie,196100,187.802276
Beaumont,115282,213.595782
Amarillo,200393,266.32697
White Oak,6225,23.541831
Kilgore,13376,48.206643
Glen Rose,2659,10.121073
Missouri City,74259,75.135111
Pearland,125828,126.064943
Kyle,45697,80.477669
Galveston,53695,106.329811
Borger,12551,22.760828
Midway,173,4.110429
Dallas,1304379,879.570173
Richardson,119469,73.986154
Grapevine,50631,83.235894
Rowlett,62535,53.728029
Fort Worth,918915,902.772231
Friendswood,41213,53.761566
La Porte,35124,48.182846
Tahoka,2375,6.166567
Elsa,5668,5.406481
Laredo,255205,276.672979
Beeville,13669,16.516075
Copperas Cove,36670,46.691838
Mercedes,16258,30.559256
Robinson,12443,80.950811
Harker Heights,33097,40.474661
Clyde,3811,8.504604
Gladewater,6134,29.957512
