name,m,area
Delhi,2721,8.225825
Binghamton,47969,27.141216
Akron,2888,5.209767
Alden,2604,7.040219
Angola,2046,3.669096
Blasdell,2539,2.910121
Depew,15178,13.147772
East Aurora,5998,6.5033
Gowanda,2513,4.125363
Hamburg,9696,6.421437
Baldwinsville,7898,8.261134
Camillus,1222,1.050759
Schenectady,67047,27.991725
Kenmore,15205,3.718719
Orchard Park,3108,3.479089
Tonawanda,15129,9.850438
Williamsville,5423,3.258137
Johnson City,15343,11.789493
Liverpool,2242,1.946367
Manlius,4662,4.715779
Minoa,3657,3.421226
Waverly,4373,5.916356
Fredonia,9585,13.303985
Jamestown,28712,23.049709
Beacon,13769,12.273969
Red Hook,1975,2.731454
Mineola,20800,4.794402
New Hyde Park,10257,2.195675
Huntington Bay,1446,2.585393
Solvay,6645,4.185853
Medina,6047,8.543805
Hammondsport,583,0.893853
Cedarhurst,7374,1.747711
East Hills,7284,5.903176
East Rockaway,10159,2.636667
East Syracuse,3078,4.039633
Sloan,3775,2.020127
Springville,4225,9.5317
Lakewood,3002,5.076309
Albertson,5220,1.758559
Averill Park,2098,10.455319
Baiting Hollow,2763,13.493751
Baldwin,33919,10.654991
Bay Park,2117,1.300132
Bayport,8609,9.675302
Bay Shore,29244,14.70649
Baywood,7726,5.920213
Beaver Dam Lake,2609,6.318668
Bellerose Terrace,2329,0.323483
Bellmore,16297,6.110559
Bethpage,16658,9.261281
Blue Point,5156,4.666261
Bohemia,9852,22.287188
Brasher Falls,674,4.25434
Brentwood,62387,28.360731
Brighton,37137,39.904827
Brinckerhoff,3377,4.558991
Brookhaven,3330,15.014103
Carle Place,5005,2.481987
Centereach,30980,23.073451
Cheektowaga,76829,65.724372
Chenango Bridge,2884,6.342875
Commack,36536,31.723379
Copiague,23429,8.008831
Coram,40220,35.809365
Cortland West,1286,13.37879
Country Knolls,5349,8.869366
Crugers,1627,1.719994
Deer Park,28837,15.973368
Dix Hills,26180,40.790585
Eastchester,20901,8.548837
East Farmingdale,6617,19.365877
East Glenville,11896,26.056067
East Islip,13931,10.233259
East Massapequa,19854,8.75162
East Meadow,37796,16.324393
East Northport,20048,13.350783
East Patchogue,21580,21.544165
East Shoreham,6841,13.984163
Eatons Neck,1334,2.602162
Eden,3346,14.487988
Edwards,361,2.39542
Eggertsville,15561,7.408692
Elmont,35265,8.831008
Elwood,11426,12.381408
Endwell,11762,9.696146
Farmingville,14983,10.846168
Fire Island,777,23.746998
Firthcliffe,5022,7.69227
Fort Drum,15896,37.139292
Franklin Square,30903,7.458918
Garden City South,4119,1.032894
Gardnertown,4542,12.498697
Apalachin,2632,7.44826
Armonk,4495,15.368193
Bedford,1691,9.219054
Cumberland Head,1735,9.996648
Bardonia,4249,6.636214
Blauvelt,5548,11.681585
Binghamton University,7261,2.008507
Centerport,5822,5.728172
Central Islip,36714,18.530561
Clarkson,4694,23.592181
Congers,8532,8.249477
East Moriches,5946,14.058898
East Norwich,2792,2.724886
Fairmount,10248,8.714955
Galeville,4482,3.245228
Fort Salonga,9652,24.580342
Germantown,1121,9.440096
Gilgo,185,12.999547
Glasco,2013,4.186593
Glens Falls North,9530,21.694425
Golden's Bridge,1628,6.243569
Gordon Heights,3981,4.413705
Great River,2005,10.840344
Greece,14429,11.326697
Greenlawn,13661,9.908547
Greenville,9394,6.774073
Hampton Bays,15228,33.50189
Hartsdale,3377,2.197493
Hauppauge,20083,26.43366
Haviland,4174,12.761937
Hawthorne,4646,2.844944
Heritage Hills,4511,4.833175
Hicksville,43869,17.591639
Holtsville,18937,18.411792
Huntington,19645,19.787131
Huntington Station,34878,14.181619
Inwood,11340,4.13084
Irondequoit,51043,38.890209
Islip,18418,12.292964
Islip Terrace,5323,3.298459
Jamestown West,2652,6.526951
Jefferson Valley-Yorktown,14444,18.023643
Jericho,14808,10.261294
Kings Park,17085,17.279484
Lake Carmel,8069,13.532014
Lake Erie Beach,3467,9.899184
Lake Ronkonkoma,18619,11.74943
Lakeview,6077,2.591953
Levittown,51758,17.643735
Locust Valley,3571,2.347239
Lyncourt,4376,3.241848
Lyons,3989,11.947349
Mahopac,8932,15.87286
Manhasset,8176,6.177315
Manhasset Hills,3649,1.53136
Manorville,14317,65.866551
Massapequa,21355,9.217047
Mastic,15404,9.998798
Mastic Beach,14199,12.686827
Mechanicstown,8065,8.673786
Medford,24247,27.968187
Melville,19284,31.367459
Merrick,22040,10.31148
Middle Island,10546,21.286834
Miller Place,11723,16.962332
Mount Sinai,11623,15.538347
Myers Corner,10598,22.119523
Nanuet,18886,14.07619
Nesconset,13207,9.897846
New Cassel,14199,3.867663
New City,34135,40.046546
New Windsor,8882,9.742405
Niskayuna,20787,30.759388
North Babylon,17927,8.538901
Gates,4956,5.1266
Glen Head,4837,4.254606
Harris Hill,5839,10.463349
Herricks,4398,1.483898
Hewlett,7262,2.28077
Highland,6385,13.990326
Hurley,3346,14.211364
Holbrook,26487,17.826641
Hyde Park,1925,3.217899
Montrose,2862,4.196753
Latham,13680,14.974853
Mattydale,6296,4.974026
Nedrow,2095,2.491135
Minetto,1262,9.718715
North Bay Shore,19619,8.279693
Northeast Ithaca,2701,3.805963
North Gates,9458,6.890957
North Great River,4266,6.09149
North Lindenhurst,12000,4.999985
North New Hyde Park,15657,5.15709
North Sea,5461,28.630495
North Valley Stream,18197,4.828663
North Wantagh,11931,4.92954
Northwest Ithaca,2231,9.203659
Oakdale,7430,8.227824
Oceanside,32637,12.76854
Old Bethpage,6403,10.786324
Oyster Bay,7049,3.203758
Pearl River,16567,17.594637
Pine Plains,1142,5.388322
Plainedge,9517,3.636242
