tile,cpc
1001,0.31090098895108537
10227,0.0035553095977515978
1030,0.18642230481391586
10301,0.00796594324800157
10337,0.01680845923980721
10352,0.0002655812540599699
10418,0.022342050234181562
10445,0.0920488767534773
1055,0.022317614470455025
10559,0.5800965107503696
10792,0.010083098505402309
1089,0.010603414016163343
10924,0.03079043300838547
1104,0.015449972333258644
11294,0.7289802877577648
11396,0.035170580638876216
11468,0.17114325878572106
11486,0.12225200518397826
11537,0.37534049223538357
11570,0.019736585513326507
11594,0.31491493495591005
11626,0.008802348341586852
11723,0.025721406146577676
11800,0.0052005402273205955
11913,0.03575863863106183
11961,0.012632646185862446
12075,0.05165055886599452
1214,0.039356459089702873
12358,0.36755095435370455
12364,0.052426804414103925
124,0.03947348635711172
12407,0.13204060658661063
12452,0.33275022952937977
12536,0.009999624580663684
12585,0.008216762965925637
12612,0.10866953869665245
12624,0.03242111024315895
12637,0.055625750774329394
12696,0.03210207539596713
12758,0.9873623750170335
12765,0.19537186120019678
12792,0.000582934467567634
12801,0.018773130209965388
12828,0.5761935897930821
12903,0.011985313897547397
12938,0.7446584336598577
12949,0.059367950042223755
12962,0.0328362890856284
12970,0.023801370468173117
12996,0.06783429166237644
13011,0.03623291936802868
13169,0.010338643438102871
13235,0.0019797736659783564
13271,0.012877006991838616
13288,0.2298995396925786
13299,0.39169079871854373
13371,0.3773704829858342
13473,0.3335311104609139
1466,0.006079900220573531
1647,0.007299796128047933
1677,0.005171144666697195
1704,0.01546487048586095
1743,0.021057253892918088
1766,0.006712153796088537
1791,0.4069098799813882
18,0.014103014295804052
1815,0.41684246394753044
1828,0.01713835208963933
1868,0.008176422648837075
191,0.030216251620407156
1978,0.046234675849116925
2049,0.0033878382158765855
2084,0.30118530510598807
2148,0.42309040903617834
2165,0.04871769955283717
2175,0.42166367119904824
2225,0.6858708096462732
2242,0.20160880175319118
2341,0.19176827088100687
2519,0.008930532057424442
261,0.4239835243927973
2613,0.009256533804656453
2633,0.02785252589490282
2714,0.19569940577947537
2741,0.10984464360300733
2795,0.03387971780437652
2868,0.014461184753577607
2949,0.21927011424097523
2955,0.22920560643740512
2985,0.4252113283350075
3016,0.0010351624381031881
3112,0.018157162330053583
314,0.4000806437719495
3176,0.01798202907658949
3219,0.0521336770349814
3238,0.0549363221784198
3267,0.03798727424679235
3271,0.1486323561225214
3277,0.17459152300311906
3301,0.8481292404270906
3332,0.24295780090219213
3479,0.013023283818887087
3534,0.14973606022958638
3615,0.15965861418362673
3622,0.051366702111359505
3813,0.11123434702555339
391,0.9724101454484038
393,0.37632182102071166
3941,0.10959884618249896
3978,0.006095856455285201
4053,0.12221095111675645
4073,0.021957707024229983
4148,0.021286694301722652
4191,0.02156813066492861
4243,0.011348762482311285
4261,0.0020572639054580433
4345,0.0037062156923854204
4409,0.19942648771901458
4472,0.024076754370462233
4535,0.326600662087808
4643,0.10431093356502318
4713,0.005171392304837385
4718,0.0051732313981142425
4848,0.014060969189358436
4868,0.057608259345680354
4934,0.019084080982920432
4951,0.20467177279215854
497,0.07170452216215507
5173,0.037400458161852695
5226,0.14586190189821474
5259,0.06277526734550412
5393,0.004294522734328412
5429,0.02664124353925824
55,0.001407821288054017
5576,0.06351381466472665
5876,0.050304393638645764
5948,0.03751234201014894
6068,0.045607662040586645
6600,0.01342589347593246
6616,0.036797015450726445
6658,0.0050582532813639195
6701,0.023838074236880544
675,0.01584406211616782
6775,0.009191665181353049
6854,0.01628508528440308
6869,0.00630782033249423
6952,0.008655263743717879
7034,0.1800820161052527
7070,0.08353719707733234
7099,0.015083551735532228
7118,0.057
7150,0.0026462580348004926
7196,0.021027996247860975
7320,0.04296768572450467
7331,0.04844527230366827
7428,0.020911156640692437
759,0.04437017956671287
7601,0.21008885703646582
7710,0.002292007200766235
7757,0.015450711005670468
7780,0.06173322308787983
7822,0.05648041916882762
8120,0.0844033409677816
8144,0.046056257016909685
821,0.0001669043869962965
8212,0.07969018034162625
8232,0.004002587897891545
8247,0.011952509807760204
8294,0.006113075212955316
8323,0.0021309211443242544
8377,0.08825110325416544
8511,0.04222665308843172
8532,0.27025886040121067
8597,0.03958788298565841
8805,0.058074778261549255
8845,0.03137220900583969
891,0.014278589501053445
8920,0.007305952396660942
8956,0.05049566338788244
8996,0.03640842805579439
9036,0.032586566633807414
9066,0.03887437277846828
922,0.004406435699672466
9228,0.0076659266804177395
9463,0.02630586170014881
9548,0.012913486427676013
957,0.507423620429828
9684,0.25544681924314566
972,0.4089182796280277
9835,0.027126694110187418
9854,0.19137755792069652
9865,0.06925590148245796
